table,metric,count,rate,score,notes
observability,direct_cloud,5,4.72%,,
observability,inferred_cloud,23,21.70%,,
observability,endpoint_required,24,22.64%,,
observability,policy_required,19,17.92%,,
observability,manual_required,35,33.02%,,
technical_observability,direct_cloud,5,8.06%,,
technical_observability,inferred_cloud,17,27.42%,,
technical_observability,endpoint_required,21,33.87%,,
technical_observability,policy_required,18,29.03%,,
technical_observability,manual_required,1,1.61%,,
category_score,IAM,,,32.51,
category_score,Network,,,58.42,
category_score,Data,,,41.74,
category_score,Monitoring/Logging,,,36.38,
category_score,Compute/Workloads,,,38.29,
category_score,Cost/Governance Hygiene,,,27.11,
proposed_answer,No,23,,,
proposed_answer,Yes,5,,,"Bounded: no mapped cloud-control-plane issue observed"
proposed_answer,Cannot determine,78,,,
review_metric,reviewer_ledger_entries_received,28,,,
review_metric,revalidation_rows_accepted,8,,,"Final human cross-check workbook"
review_metric,final_accepted_rows,23,,,
review_metric,ai_draft_accepted,23,,,"Not independent human agreement"
review_metric,needs_evidence,5,,,
review_metric,pending,78,,,
review_metric,final_human_agreement_evaluable,23,,,
review_metric,final_human_agreement_rate,,100.0%,,"Bounded to agreement-evaluable reviewed cloud-evidence rows"
review_metric,external_human_cross_check,,,,Complete
review_metric,draft_acceptance_evaluable,23,,,
